book_id,title,average_rating
1,"The Hunger Games (The Hunger Games, #1)",4.34
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44
3,"Twilight (Twilight, #1)",3.57
4,To Kill a Mockingbird,4.25
5,The Great Gatsby,3.89
6,The Fault in Our Stars,4.26
7,The Hobbit,4.25
8,The Catcher in the Rye,3.79
9,"Angels & Demons  (Robert Langdon, #1)",3.85
10,Pride and Prejudice,4.24
11,The Kite Runner,4.26
12,"Divergent (Divergent, #1)",4.24
13,1984,4.14
14,Animal Farm,3.87
15,The Diary of a Young Girl,4.1
16,"The Girl with the Dragon Tattoo (Millennium, #1)",4.11
17,"Catching Fire (The Hunger Games, #2)",4.3
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53
19,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.34
20,"Mockingjay (The Hunger Games, #3)",4.03
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46
22,The Lovely Bones,3.77
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61
26,"The Da Vinci Code (Robert Langdon, #2)",3.79
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54
28,Lord of the Flies,3.64
29,Romeo and Juliet,3.73
30,Gone Girl,4.03
31,The Help,4.45
32,Of Mice and Men,3.84
33,Memoirs of a Geisha,4.08
34,"Fifty Shades of Grey (Fifty Shades, #1)",3.67
35,The Alchemist,3.82
36,"The Giver (The Giver, #1)",4.12
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19
38,The Time Traveler's Wife,3.95
39,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45
40,"Eat, Pray, Love",3.51
41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23
42,"Little Women (Little Women, #1)",4.04
43,Jane Eyre,4.1
44,"The Notebook (The Notebook, #1)",4.06
45,Life of Pi,3.88
46,Water for Elephants,4.07
47,The Book Thief,4.36
48,Fahrenheit 451,3.97
49,"New Moon (Twilight, #2)",3.52
50,Where the Sidewalk Ends,4.29
51,"City of Bones (The Mortal Instruments, #1)",4.12
52,"Eclipse (Twilight, #3)",3.69
53,"Eragon (The Inheritance Cycle, #1)",3.86
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.2
55,Brave New World,3.97
56,"Breaking Dawn (Twilight, #4)",3.7
57,The Secret Life of Bees,4.01
58,The Adventures of Huckleberry Finn,3.8
59,Charlotte's Web,4.15
60,The Curious Incident of the Dog in the Night-Time,3.85
61,The Girl on the Train,3.88
62,"The Golden Compass (His Dark Materials, #1)",3.94
63,Wuthering Heights,3.82
64,My Sister's Keeper,4.06
65,Slaughterhouse-Five,4.06
66,Gone with the Wind,4.28
67,A Thousand Splendid Suns,4.34
68,The Perks of Being a Wallflower,4.21
69,"Insurgent (Divergent, #2)",4.07
70,"Ender's Game (Ender's Saga, #1)",4.3
71,Frankenstein,3.75
72,The Shining (The Shining #1),4.17
73,"The Host (The Host, #1)",3.84
74,Looking for Alaska,4.09
75,"Bridget Jones's Diary (Bridget Jones, #1)",3.75
76,Sense and Sensibility,4.06
77,"Holes (Holes, #1)",3.93
78,"The Devil Wears Prada (The Devil Wears Prada, #1)",3.7
79,The Odyssey,3.73
80,The Little Prince,4.28
81,The Glass Castle,4.24
82,Into the Wild,3.94
83,A Tale of Two Cities,3.81
84,"Jurassic Park (Jurassic Park, #1)",3.96
85,The Giving Tree,4.38
86,A Time to Kill,4.03
87,Night (The Night Trilogy #1),4.3
88,Paper Towns,3.88
89,The Princess Bride ,4.25
90,The Outsiders,4.06
91,"The Maze Runner (Maze Runner, #1)",4.02
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.93
93,The Secret Garden,4.12
94,One Hundred Years of Solitude,4.04
95,The Picture of Dorian Gray,4.06
96,"Fifty Shades Freed (Fifty Shades, #3)",3.88
97,Dracula,3.98
98,"The Girl Who Played with Fire (Millennium, #2)",4.22
99,"Fifty Shades Darker (Fifty Shades, #2)",3.87
100,The Poisonwood Bible,4.02
101,Me Talk Pretty One Day,3.97
102,Where the Wild Things Are,4.22
103,The Count of Monte Cristo,4.21
104,The Road,3.95
105,"Allegiant (Divergent, #3)",3.63
106,Bossypants,3.94
107,A Walk to Remember,4.15
108,"Confessions of a Shopaholic (Shopaholic, #1)",3.61
109,Les Misérables,4.14
110,"A Clash of Kings  (A Song of Ice and Fire, #2)",4.4
111,The Memory Keeper's Daughter,3.64
112,"Me Before You (Me Before You, #1)",4.27
113,Catch-22,3.98
114,Tuesdays with Morrie,4.06
115,Middlesex,3.98
116,The Adventures of Tom Sawyer,3.89
117,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4.04
118,The Joy Luck Club,3.9
119,The Handmaid's Tale,4.06
120,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",3.75
121,Lolita,3.88
122,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",3.52
123,"The Firm (Penguin Readers, Level 5)",3.99
124,Room,4.03
125,Hamlet,4.0
126,Dune (Dune Chronicles #1),4.19
127,The Tipping Point: How Little Things Can Make a Big Difference,3.92
128,Steve Jobs,4.09
129,One Flew Over the Cuckoo's Nest,4.18
130,The Old Man and the Sea,3.73
131,The Grapes of Wrath,3.92
132,The Five People You Meet in Heaven,3.9
133,"Anne of Green Gables (Anne of Green Gables, #1)",4.23
134,"City of Glass (The Mortal Instruments, #3)",4.34
135,"A Storm of Swords (A Song of Ice and Fire, #3)",4.54
136,Divine Secrets of the Ya-Ya Sisterhood,3.79
137,"Outlander (Outlander, #1)",4.2
138,The Scarlet Letter,3.37
139,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",3.89
140,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",4.2
141,The Martian,4.39
142,"The Pillars of the Earth (The Kingsbridge Series, #1)",4.29
143,All the Light We Cannot See,4.31
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4
145,Deception Point,3.67
146,The Goldfinch,3.87
147,Thirteen Reasons Why,4.02
148,Girl with a Pearl Earring,3.85
149,"If I Stay (If I Stay, #1)",3.96
150,The Red Tent,4.16
151,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",4.23
152,Dear John,4.01
153,"City of Ashes (The Mortal Instruments, #2)",4.21
154,Macbeth,3.88
155,"The Two Towers (The Lord of the Rings, #2)",4.42
156,"Something Borrowed (Darcy & Rachel, #1)",3.83
157,Green Eggs and Ham,4.29
158,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",4.1
159,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",4.39
160,Great Expectations,3.75
161,"The Return of the King (The Lord of the Rings, #3)",4.51
162,The Stranger,3.96
163,"The Lost Hero (The Heroes of Olympus, #1)",4.35
164,Eleanor & Park,4.11
165,"A Feast for Crows (A Song of Ice and Fire, #4)",4.1
166,"Matched (Matched, #1)",3.68
167,"American Gods (American Gods, #1)",4.11
168,The Stand,4.34
169,The Last Song,4.14
170,Digital Fortress,3.6
171,Emma,3.99
172,Anna Karenina,4.02
173,A Clockwork Orange,3.98
174,The Shack,3.74
175,"The Last Olympian (Percy Jackson and the Olympians, #5)",4.5
176,It,4.18
177,Crime and Punishment,4.18
178,The Bell Jar,3.98
179,"Angela's Ashes (Frank McCourt, #1)",4.07
180,Siddhartha,3.99
181,In Cold Blood,4.05
182,"Beautiful Creatures (Caster Chronicles, #1)",3.76
183,"Clockwork Angel (The Infernal Devices, #1)",4.33
184,Matilda,4.29
185,The Night Circus,4.03
186,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",4.04
187,"Uglies (Uglies, #1)",3.86
188,"A Dance with Dragons (A Song of Ice and Fire, #5)",4.31
189,"The Lord of the Rings (The Lord of the Rings, #1-3)",4.47
